,Unnamed: 0,Question,Answer
0,0,whats wrong w/ amazon leavin shit outside like ups,Please let us know how we can help and DM your tracking # using this link.
1,1,that small biz tyrant a dime yo. nice,I'm sorry to hear that. Let us know what happened and if you have a tracking # please send that too.
2,2,"Hey you just gained a customer lost my package I paid for overnight first am delivery, they ""lost"" it hope you can do better",Please DM us your tracking and contact number via the link so we can look into this for you.
3,3,Saved my fucking time by just checking my mailbox because sure enough I got the UPS letter saying my package was in oh my gOD,Is there something that we can assist you with? DM our team
4,4,"has ONE job so why is my daughter's bday gift lost? Despite bar code, no one knows where it is. GREAT job. ONLY from now on.",I'm really sorry to hear that. Please DM your tracking # so we can look into that for you.
5,5,leaving something in my building is not delivering that thing to me. Honestly its just stupid.,I am sorry about this. Were you home at the time the delivery occurred?
6,6,"You have an epic fail regarding a delivery. Its unacceptable and poor service. No delivery attempt by driver, lying by the driver, then misinformed by phone agent and still no delivery and it will be 3days late.","I'm very saddened to hear your package has not been delivered. Please DM my team your tracking number., We will take a deeper look into the details for you."
7,7,Yall got 47 minutes,"Please DM us your tracking, delivery address and contact number via the link so we can look into this for you."
8,8,Today a package that wasn't even scheduled for today was randomly rescheduled and dropped at my door. I live in an apt building. The package is nowhere to be found. I'm so sad and disappointed. What do I do?,"Please DM us your tracking, delivery address and contact number via the link so we can look into this for you."
9,9,I went online earlier this week and signed for a package that was to be delivered today. The driver did not leave the package and rescheduled the delivery. I need direction on how to get my package today.,I apologize the driver did not leave your items as you expected. Can you please DM the tracking and delivery address.
10,10,-me erday waiting for UPS,Thank you for reaching out to us. Please DM us details of your concern or compliment include your tracking and phone number. Don't forget to provide your shipping address.
11,11,Thrilled I stayed home all day on a saturday after receiving 3 emails reassuring me my packages are out on truck for delivery. *sigh* 7Pm nothing.,Thank you for reaching out to us. Please DM us details of your concern or compliment include your tracking and phone number. Don't forget to provide your shipping address.
12,12,"Dear thanks for just leaving my package on the porch, in the rain and you didnt even ring the doorbell? So there it just sat.",I am sorry that this has happened. Please DM the tracking number and we will look into this for you.
13,13,WHY DID YOU MAKE ME PAY TO CHANGE MY DELIVERY DATE THEN DISREGARD THE CHANGED DATE AND DELIVERED IT ANYAYS?????!!?!!?!,I am sorry the package was delivered early. Please DM the tracking number. We will look into this concern for you.
14,14,Im having trouble with My Choice account. Please Help!,Thank you for reaching out to us. Please DM us details of your concern or compliment include your tracking and phone number. Don't forget to provide your shipping address.
15,15,what time do you guys stop delivering packages.,We deliver up until 7:00 p.m. or until the driver has attempted to deliver every package. During the holidays our drivers can deliver until 8:00 p.m. or later.
16,16,package said to be delivered. No one at office remembers or signed for. Can you confirm who received? 1zy__credit_card__,It is showing that this package was left at the front door. Please DM us your complete address.
17,17,#upsscam why ups always charge cod ? Why they can't figure out cost before when shipping is calculated ?,"Please DM the tracking number, contact number, and full details, if you needed assistance."
18,18,A video game dude (EVA helmet prjt) and a plain box,"We love it, you rock!"
19,19,I really wish wouldnt ship with . Worst service out there,I do apologize that you feel this way. If you need assistance please DM us your concern.
20,20,I used UPS My Choice to hold two packages that were going to arrive on Friday until Monday. They're still not here. Where'd they go?,"We can look in to this for you. Please DM us your tracking number, phone number, and full address."
21,21,"Damn told me I could go get my headphones and theyd call me when I could go get them, the. They dont call and tell me its too late",I'm sorry to hear this! Please DM the tracking number and address if you need help with your package.
22,22,where is my package? Tracking #1Z9743W80207078561,Please DM our team. Please confirm your address.
23,23,Could you please shed light on 1Z5776W10491633299? It is due for delivery today but hasn't budged since last week. Please advise.,Please DM us due to the limited characters so we can provide additional information.
24,24,extremely poor customer service repeatedly. Unbelievable smh,"Please DM us your tracking number, and complete address so we can look into this."
25,25,Its been saying this since the 4th. Any idea why? Anyone else having this too? #XboxOneX,Can you please DM the tracking number. I will check into this for you.
26,26,Stop changing your story. First you tell me ill be receiving $1200 TWICE and now your saying $100.,I'm truly sorry for your experience. Our team would like to look into this situation. Please DM us to discuss details.
27,27,"don't tell your customers lies! Like "" our driver will pick it up"" and then never show up. Take the package to the store and a week",I'm sorry for the inconvenience. Can you please DM me your tracking number?
28,28,1Z6E6Y548577784432,The tracking number you provided is not valid. Can you please DM me your correct tracking number?
29,29,Thanks for losing my fucking package. I want my damn iPhone,We can look into this further for you to see what is going on. Please DM us the tracking number.
30,30,my package has been taking forever to arrive &amp; I haven't been given an arrival date and I'm wondering if you could help,We can look into this for you. Please DM us the tracking number for your package.
31,31,Second day in a row staying home to wait for a package from only to be met with a slip saying I wasn't home,Please DM your tracking number. I will be glad to take a deeper look into this matter for you.
32,32,Just spent one hour &amp; 20 min at trying to get my confirmed will call package. NOPE. FORTY MINUTES waiting for someone to look for it. Will NEVER buy from anyone shipping UPS again. #BOYCOTTUPS,"I'm sorry for the wait. If you track your package online at you can see if your request has been completed. DM us the tracking number, name, and complete address on the package. Let us review your options."
33,33,"Well, ruined Halloween. Paid over $40 in shipping and had a guaranteed arrival that got rescheduled at 5pm today. #nohalloweencostumes","Let's see what's going. Please DM your tracking number, address, and phone number."
34,34,Since when do I need to be home to receive a package from Amazon that has a T-SHIRT AND PJ PANTS IN IT?!,It is the drivers discretion to leave a package. If you need assistance please DM us.
35,35,Hey when will I hear back about my package that wasnt actually delivered to my address?,Hey I'm sorry you have not received your package. Can you please DM me your tracking number?
36,36,the hotlines customer service is awful.,I do apologize that you feel this way. If you need assistance please DM us.
37,37,"package tracks as delivered, but did not receive. Need for school project! 1ZR5427A0294522617",I would be happy to look into this for you! Please DM your delivery address and phone number.
38,38,My packages keep getting delayed because of operating conditions. I dont understand because yall just toss people packages &amp; go anyway,"I recommend going to and select the ""Notify me with Updates"" option. If you select this option, you will receive automatic alerts once the package is ""Out for Delivery"", delivered or if there are any exceptions via email or SMS text."
39,39,No idea? me either.,Sorry to hear this happened. I would recommend contacting your shipper to start a package investigation at this point.
40,40,Like honestly how could your customer service and work get any worst. Holler if you feel me. #neverusingups for any of my companies!!!,I do apologize that you feel this way. If you need assistance please DM our team.
41,41,I cannot change my delivery and this is the third attempt. Can someone contact me because I don't want my package going back to the sender!,"I am sorry but with the restrictions from Gucci, we are unable to override the request to change the date. The only option that we have is for it to be delivered this is why you were unable to make changes online. I am sorry about this."
42,42,Normal. Son dos solar outdoor led lights.,Please send your tracking # via DM so we can look into any issues for you.
43,43,So u have me dm u &amp; provide all types of information only to respond that someone will reach out to me tomorrow. Waste of TIME.,Please DM me your tracking info so I can look into that for you.
44,44,"is now 3 hours past my 2 hr ""confirmed delivery window"" for 2nd Day Air medical supplies. Next order, I will demand another shipper.",I'm sorry you have not received your package. Will you please DM me your tracking number?
45,45,trying to find out status of this package 1Z5A619V0399897253 say today but not arrived,This package is out on the truck to be delivered tonight.
46,46,NOT ONLY OPENED THE DOOR HE PICKTEM UP BRUNGEM HERE BY UPS DHS BUSESINEMIN TRAINS STRATEGICALLY PLACED THEM ALL OVER USA CELLS EVERYWHERE,"If you need any assistance, please DM our team further details and any tracking information."
47,47,I dont need anything from you all. Im currently impatiently waiting at a UPS hub. Ive been here almost an hour. Im pissed.,I'm sorry for any frustration caused! Let us know if you do need help in the future.
48,48,Omg is so trash!!!!,"I'm sorry you feel this way! What is going on? Please DM your tracking number, address and phone number."
49,49,My packages are gone THREE packages yooooooooooo Im ready to fight somebody gotta class action lawsuit these fools,I'm sorry to hear that happened. Please DM your tracking # so we can look into that for you.
50,50,"Been on the phone with for almost an hour now, bitch where is my shit ?","I would be happy to look for you! Please DM your tracking number, delivery address and phone number."
51,51,I want my package your lazy ass delivery driver left at another person apartment! And they have no clue where it is,If you need further assistance please provide your tracking number.
52,52,I sent you a DM. A service was still paid for but not provided. Even though you are working to deliver as quickly as possible this is deceptive.,I understand and I'm sorry that we currently don't have any other details to provide to you.
53,53,3 out of 3 deliveries this week have missed their delivery date. One was 2 day air and one was shipped from 10 Miles away. Completely unacceptable,I apologize for any frustration caused! We are working to deliver packages as quickly as possible. Please use the link to DM your tracking number and delivery address if you have any questions.
54,54,"Ahhh this cracks me up. My sis paid $40 for guaranteed 3 day shipping too, and it took 13 days to get to me. is the worst.",Please DM us your tracking and contact number via the link so we can look into this for you.
55,55,"If you have not experienced a ""Proper Worst Service"" ever, try . They never disappoint you by there ""screw you customer"" behaviour. And not once, EVERY TIME. You keep calling, mailing to around 20 contacts for 20 days and yo get Null in response. Kudos.",I'm sorry to hear of your experience! I would be happy to look into what is going on and how we can help you with your package. Please use the link to DM the details of your concern and any related tracking numbers.
56,56,So grateful we can ship supplies to fam in P.R. thru ! Any chance discounted rate will be extended? #customer4life,The last day for the discounted rate is 10/31.
57,57,uhhhhmmmm they pulled up to my house and didnt deliver my package???????,Please DM us your tracking and contact number via the link so we can look into this for you.
58,59,Packages delayed - two day shipping ordered days ago. No reason? Specialty orders for animal food (were out) and Tgivs needs. What gives? This is awful service.,I am sorry to hear this. Please provide your tracking number via a DM. We'd be more than happy to take a look into this for you.
59,60,We've been waiting for a package that was said to be delivered between 12-4pm. It's past 7pm. I had to put my entire day on hold,Sorry to keep you waiting for this delivery. Please reach out to us if you don't receive your package.
60,61,How can I have a package in transit returned to the shipper? I don't want the package.,We would be able to submit a return to shipper after the first delivery attempt.
61,62,"You're driver will leave it at the door, whether I am home or not.",Please DM us your tracking number &amp; phone number and we'll see what we can do.
62,63,"Level with me, UPS. You have no idea where my package is, do you?","Please DM your tracking number, delivery address and phone number so we can take a look into this."
63,64,help! Delivery originally said today now changed to Friday. Help me get it today ,"I'm sorry to hear of the delay! We can take a look into what happened, please DM your tracking number, delivery address and phone number."
64,65,Wow thanks not sure you could have beat the crap out of the package anymore?!?!,Was anything damaged inside?
65,66,what is the issue!? Why are the package progress details not updating?,"Hi there. If you need any assistance with a delivery, please DM us your tracking # &amp; contact info."
66,67,"I'm just a little curious to know what time is 's ""End of Day""? It's past dinner time and still no delivery of my .",Drivers can be out on route well past the 7pm normal cut off. Thanks for your patience.
67,68,Youll were responsible for shipping my sisters bday gift the box was completely destroyed &amp; her item is now missing! Thanks!!,Sorry to hear that. Have her contact us for assistance.
68,69,"What would youll be able to do I ordered and shipped it to her, can youll check the truck if I give the the tracking # ?",We can look into this! Please DM your tracking number and delivery address.
69,70,UPDATE: That trick-or-treater was an actual guy. I got tricked so hard!,LOL!! Sneaky guys aren't they!
70,71,hey i have a #idea when people call about #parcels transferred to #usps provide them with the #postal tracking number ya #lazyfucks,The number for the USPS is located at the bottom of the tracking details on for your convenience
71,72,"Hey , what does this mean?",It means we have a label created but have not yet received the package. You should be seeing scans tomorrow night.
72,73,someone tell me why is telling me i have to physically go in to pickup my package that is at a location 30 MINUTES FROM ME ,Please DM us your tracking and contact number via the link so we can look into this for you.
73,74,I thought UPS would have an easier time delivering parcels here in Manila. But guess what? My package is nowhere to be found. ,Sorry about that. Please DM us your tracking number &amp; contact info so we can see what's going on.
74,75,how can 1 be calling your PE offices for over an hour with no Answer? What kind of service is this?,Do you need help with something?
75,76,"For a service provider that is crucial to business operations, your service is worse than below par.",Sorry to hear that. d
76,77,"6 days since my Pharmacy sent my blood pressure medications next day air, and I still don't have them. If I stroke out, this is on you .","I""m really sorry to hear that Mike, there's been a missort in your package that sent it out of state and it's been rerouted back to you. We will do a Saturday delivery for you. Your package will be attempted tomorrow."
77,78,Didons ya moyen de pas balancer un vieil avis de passage dans ma BAL alors qu'il y a mon numero de tel sur la commande ?,Is there something we can assist you with. Please Dm our team with details and any tracking numbers.
78,79,i need help with a package that ive been trying to get for 2 weeks almost. Please assist.,Please use the link to DM us the tracking number and your phone number so we can help you.
79,80,when will my ups driver return from war i just want my akira collab delivery :( :( :(,"I can check the status for you, please DM us the tracking details."
80,81,"thanks, if its not here by the end of the day i will",Sounds good! We'll just be one DM away if you need further assistance.
81,83,Pakket vanaf Access Point in NL naar een Point in Stadskanaal gestuurd en kreeg vandaag pakket retour. Waarom?,Our team would like to research more. Please DM the tracking number and your contact info.
82,84,Where is my package?,Please DM the tracking number and details. WE can check on this for you.
83,85,Hey great work with my delivery yesterday. Such care. ,Is anything broken?
84,86,". war angeblich grad da, aber hier hat niemand geklingelt!  Ich BRAUCHE dieses Ladegert und morgen ist keiner Zuhause ","If you need assistance, please use the link provided to DM us your tracking and contact information. Thanks"
85,87,our Valuable cargo packaging has been lost and none official of UPS Turkey does not give a net answer. Please Help us.,Are you the shipper or the receiver?
86,89,Thanks for losing my package  again. You had one job.,"If you would like us to look into this further for you, please DM us the tracking number."
87,90,You both have me f%cked up right before the holidays. I need some answers and some money back in my bank account!!!! #barnesandnoble #ups #keepingpackageshostage #happyholidays #worstcustomerservice #neveragain,I completely understand your frustrations with this and apologize. There is an investigation open for this at this time. Please work with the sender of this as we will relay the information and results to them.
88,91,. I reached out to you for help retrieving a package and you SOLD MY PHONE NUMBER TO TELEMARKETERS. Guess Im going with now.,UPS has strick policies in place to protect customers information. UPS does not sell any information that is received.
89,92,. Weird. Well. I gave your rep my phone number (a number I dont use anywhere else) and since then have been getting these calls.,I'm sorry you've been getting the calls. UPS does not sell or release our customers information to anyone.
90,93,"(This is, BTW, their Customer Support dept that sold my phone number. While promising to help. I am fucking livid.)","I'm sorry to hear this. Please reach out in a DM with you tracking number, phone number and your full address."
91,94,hello ! I need to reschedule a deliver and the wait time on the phone is ONE HOUR PLEASE HELL,"- We would be glad to help you with your shipment. Can you please DM us your tracking number, full address, and phone number. We can then look into your shipment and see what option the shipper has made available for your shipment &amp; delivery."
92,95,1ZC3NT590100002211 overnight delivery was suppose to arrive yesterday I overnighted be its very important I absolutely need it today!,- Thomas I apologize that your shipment had a transit delay. I do show it is on package car out for delivery today 11/22/2017 by end of business day. Should you need further please DM us directly.
93,96,After its already been shipped? ,"Yes, when the package is in transit the shipper is typically the only party that has access to changing the address. If you have a UPS My Choice account you can see if the option is available online."
94,97,Do you guys work with USPS when an address is forwarded?,"We do not work on the same database, so if you have a forwarded address with the Post Office we will not see that. However, if we send a PostCard out for address issue it would go through the Post Office."
95,98,what do I do if a package is scheduled to be delivered after I move ,I would recommend contacting the shipper to see if the delivery address could be changed.
96,99,"Website: Thanks for your registration. You'll receive an activation pin within 7 business days. Me: By then the package will have been returned to sender. Seriously, the hell is this? Is there any way I can receive my order without staying at home?","I'm sorry to hear the problems you are having with the website. We would like to help you with this shipment. Please provide your tracking number, phone number, and your full address in a DM. Let's see what we can help with."
97,100,Shipping Batteries or Devices with Batteries: UPS,Do you need any assistance? Please DM me if you have any questions.
98,101,i paid a fortune to guarantee my package be delivered today. This is an emergency situation and i was told they left it on accident at the Kentucky facility. You are closed tomorrow i can not recieve this package friday. It is really imprtant i solve this matter,"We would like to look into this urgent matter. Please DM the tracking, phone number &amp; delivery address so we can review what options might be available. What is in the package? Are you able to find something similar locally?"
99,102,One of your delivery drivers just posted a notice on my front door and drove away without even attempting to knock. Guess I'll have to wait almost a week to get my package now.,"I'm sorry to hear this happened. Please provide your tracking number, phone number, and your full address in a DM. We would like to see what we can do to help you receive this shipment today."
100,103,I guess its actually s fault for the delay not Amazon.,I am sorry to hear your package has been delayed. We would be happy to look into this for you. Please DM the tracking number and delivery address so we can research the situation.
101,105,", how many weeks does it take to deliver a ""2nd day"" package? It's been over a week already.",Sorry for the inconvenience on not getting your package delivered.We are making every effort to get all packages delivered.
102,106,My package was damaged three times deliverd by ups! A delivary from #Apple social media sharing: many people have bad experiences with #ups,We'd be glad to look into this for you. Please use the link to provide more details.
103,107,#UPS zelfde verhaal. Tot 3x toe #iMac afleveren in zwaaaaar beschadigde doos,"Hello, are you needing assistance with a package? Please click the link to DM us directly. .W."
104,108,not a single fucking update in 7 Days. Just a poser and a shitty company,"If your package has not updated in seven days we definitely need to look into this for you. Please DM your UPS (1Z) tracking number, phone number, and verify the complete delivery address. We are happy to assist you with the delivery of your package."
105,109,really delivered my stuff to the wrong house . Im so pissed and j just need yall to run me my money .,"I do apologize, if we delivered your phone to the wrong location. Call the shipper immediately, could you provide me with the tracking# and your contact phone # in a DM. So I notify the center if this was just today."
106,110,En estos das primero llega ese cheque que tanto esperabas de ASUME a el 2 day de o,I am sorry to see this! Was the item within the box damaged? Please use the link to DM us the details.
107,112,UPS coming to my house again today. I hope they have two packages with them. I really wanted my new laptop bag,"Our team will be happy to look into your packages. Please, DM the tracking numbers in question."
108,113,but they never showed up at our door or called &amp; not even a note to say they dropped our package to some shop to pick up!,I'm sorry for the frustration. Please DM me the tracking number so I can look into this.
109,114,how can I request a pickup at my house today,"Our team can look in to that for you. Do you have a shipping label on the package? If so use the link below to provide us with the tracking number, name, address and phone number so we can set that up for you."
110,115,"Still waiting at 3pm for my package that was supposed to be here yesterday. I'm really angry at #UPS because it will literally hurt me if I have to walk to a store tomorrow, &amp; hurt me financially, as I'll have to spend $ I can't really spare.","I am sorry at this time since we are showing the package was delivered but you have not received it we will need to start a Package Investigation. DM the merchandise description, value, name and telephone number. Please contact shipper for replacement."
111,116,Hello  I order from uniformadvantage And they sent my order through UPS but I can't track my order Kindly can u track it for me 21036320541718US,"I'm sorry but the # you supplied isn't a UPS tracking #. Our #'s typically start with a ""1z"" and are 18 digits long. You will have to contact the shipper. This sounds like a reference #."
112,117,Thanks for fast reply Can you please tell me is that ur company or not??,UPS Ground packages are ours but I wasn't able to locate that tracking number in any of our systems.
113,118,sent a direct message regarding an order. Please reply!,"The tracking system is showing out for delivery today. I can't tell of a time since things vary a lot internationally but calculate it by the end of day 7:00 PM, it could be later depending on driver's volume."
114,119,hey I just accidentally changed my shipping location and it pushed my delivery date back. Any thing you can do to help ?,Please DM your tracking number and phone number so I can look into this for you.
115,120,"If you attempted a delivery and i was out, will you attempt again the same day or next day?",The driver will only make 1 attempt a day for 3 consecutive days.
116,121,"Hey can you stop leaving my packages to be stolen, thanks!","Please DM us your tracking number, and complete address so we can look into this."
117,122,"At this point I am DONE with they have he worst customer service gona have to choose a new carrier, worst shipping experience",I'm sorry that you feel this way! Is there anything in particular that we can assist you with?
118,123,Why cant I track my package via my iPhone WITTHOUT logging in??  please provide a link ASAP!,You should be able to track the package without logging in on the main website:
119,125,Where do people go to print stuff if they dont have printers at home? UPS store?,Yes! Some of The UPS Store locations may have access to print.
